8.128998414693686669e-01,6.472338308457711298e-01,8.554612811351695045e-01,8.219498785192830281e-01
7.627117221713279882e-01,6.305429789098542237e-01,8.424998056964718707e-01,8.256499060283880587e-01
6.999998888240362982e-01,6.684477611940297104e-01,8.518316921768306349e-01,8.347560364090792495e-01
7.650786183274425056e-01,6.659861063346860233e-01,8.442902510490973844e-01,8.353813484898754416e-01
7.576615981964321955e-01,6.561592039800995257e-01,8.512963526417663962e-01,8.068520651721889925e-01
8.084746247311689338e-01,6.587645821073842001e-01,8.488895894107141293e-01,8.204091910284301292e-01
7.785646333526842211e-01,6.550348258706467641e-01,8.560881478556411350e-01,8.259051931236617294e-01
7.945561504669124142e-01,6.374967685892096725e-01,8.528291349464719451e-01,8.210480598464101609e-01
7.750487186707969434e-01,6.512636815920397337e-01,8.515714848336582987e-01,8.241574241158495795e-01
6.737173802609709439e-01,6.450345532959880224e-01,8.583800591943876457e-01,8.440157413554417731e-01
